OWNER,DAY,ADDR,ADDR_DETAIL,LAT,LON,PERSONNEL,FIELD_NAME,Teaching field name,Teaching course list name,Teaching course name,Tuition
(주)보노어학원,20130603,대구광역시 수성구 지범로1길 10,/ 1~3층 (두산동),35.82918971,128.6250482,162,국제화,외국어,실용외국어(유아/초·중·고)/,실용외국어(유아/초·중·고),
(주)이아이이수성어학원,20200626,대구광역시 수성구 명덕로 384,/ 5층 (수성동1가),35.85432406,128.6122048,104,국제화,외국어,,실용외국어(유아/초·중·고),
0823클래스독서실,20211006,대구광역시 중구 국채보상로 582,/ 14층 01호 (남일동/ 미도빌딩),35.87067914,128.5943562,504,독서실,독서실(중),독서실(일반인)/,독서실(일반인),
100`s영어교습소,20191017,대구광역시 북구 관음동로32길 1,/ 1층 (읍내동),35.94635029,128.5466569,24,입시.검정 및 보습,보통교과,,보습,
11월의영광영어교습소,20090911,대구광역시 수성구 달구벌대로528길 3,/ 2층 (만촌동),35.85612666,128.6504606,15,입시.검정 및 보습,보통교과,고등,보습,고등:300000/ 중등:250000/ 고등:400000
1교시국어교습소,20100402,대구광역시 수성구 범어로16길 16,  2층 (범어동),35.85589632,128.6364878,7,입시.검정 및 보습,보통교과,고등,보습,
1등급고대학원,20141230,대구광역시 서구 달구벌대로337길 17,/ 2층 (내당동),35.8564644,128.5495706,112,입시.검정 및 보습,보통교과,,보습,
1등급국어논술교습소,20161128,대구광역시 달서구 용산로 160,/ 상가동 303호 (용산동/ 우방죽전타운),35.85047178,128.5315485,56,입시.검정 및 보습,보통교과,국어(중등),보습,국어(중등):170000/ 국어(고등):200000/ 국어(고등):230000/ 국어(중등):200000/ 국어(고등):250000/ 국어(고등):270000/ 국어(고등):300000
1등급수학교습소,20151214,대구광역시 북구 칠곡중앙대로 455,/ 2층 일부 (관음동),35.9363747,128.5487082,27,입시.검정 및 보습,보통교과,,보습,
1등급수학교습소,20100104,대구광역시 수성구 들안로73길 50-6,  2층 (수성동4가),35.86421565,128.6153534,8,입시.검정 및 보습,보통교과,초등,보습,초등:150000/ 중등:150000
1등급수학학원,20160823,대구광역시 달서구 구마로39길 116,/ 2층 (성당동),35.8424834,128.5489933,104,입시.검정 및 보습,보통교과,보습/,보습,
1등급수학학원,20211202,대구광역시 북구 동화천로 245,/ 601호 (연경동),35.94265421,128.6179103,70,입시.검정 및 보습,보통교과,보습/,보습,
1등영어교습소,20101122,대구광역시 달성군 다사읍 대실역남로 34,/ 2층 (다사읍),35.85497164,128.4640096,9,입시.검정 및 보습,보통교과,초등영어,보습,초등영어:180000/ 중등영어:220000/ 고등영어:260000
1수학교습소,20191216,대구광역시 달서구 월배로 202,/ 4층 일부 (상인동),35.81802408,128.5358574,48,입시.검정 및 보습,보통교과,,보습,
1수학학원,20130207,대구광역시 달성군 유가면 테크노상업로 96,(유가면),35.69324598,128.4596932,90,입시.검정 및 보습,보통교과,보습/,보습,
1프로줄탁수학학원,20211025,대구광역시 달성군 다사읍 대실역남로 20,/ 5층 (다사읍),35.85592868,128.4640644,72,입시.검정 및 보습,보통교과,보습/,보습,
1호관고등관퍼펙트영어학원,20191219,대구광역시 달서구 월곡로 339,/ 2층 (상인동),35.82264752,128.5328002,175,입시.검정 및 보습,보통교과,보습/,보습,
1호관김동욱수학학원,20090511,대구광역시 북구 복현로 90,5층 (복현동),35.89951855,128.6220647,105,입시.검정 및 보습,보통교과,보습/,보습,
21세기무용학원,19971230,대구광역시 남구 명덕로 164-2,/ 2층 (대명동),35.85660015,128.5881225,36,예능(대),예능(중),무용/,무용,
2앤5수학교습소,20171206,대구광역시 수성구 범어로 74,/ 2층 전체 (범어동),35.85590016,128.6357005,8,입시.검정 및 보습,보통교과,중등,보습,중등:350000/ 고등:420000
2호관신화수학과학전문학원,20171221,대구광역시 북구 학정로 419,/ 3층 (동천동),35.94211228,128.563047,150,입시.검정 및 보습,보통교과,보습/,보습,
2호관진선생수학학원,20111215,대구광역시 달서구 이곡동로 63,/ 4층일부 (이곡동),35.85444738,128.5115463,140,입시.검정 및 보습,보통교과,보습/,보습,
2호관초중등관퍼펙트영어학원,20210603,대구광역시 달서구 조암남로 7,/ 4층 일부 (상인동),35.8224398,128.5321067,175,입시.검정 및 보습,보통교과,보습/,보습,
2호점소나무외국어학원,20211220,대구광역시 달성군 현풍읍 테크노상업로 50,/ 4층 405호 (현풍읍),35.692967,128.4554348,182,국제화,외국어,,실용외국어(유아/초·중·고),
3.3영어교습소,20140731,대구광역시 수성구 범어로20길 64,/ 1층 (범어동),35.85775951,128.6392831,21,입시.검정 및 보습,보통교과,,보습,중등:250000/ 고등:400000/ 문제풀이(고등):150000/ 문법(고등):100000
3030루시앤입시학원,20120403,대구광역시 북구 복현로 71,/ 402호 (복현동/ 복현블루밍브라운스톤 명문세가아파트),35.89817158,128.6221665,90,입시.검정 및 보습,보통교과,보습/,보습,
3030리즈영어교습소,20160316,대구광역시 동구 신암로18길 12,/ 2층 일부 (신암동),35.87770239,128.6121117,99,입시.검정 및 보습,보통교과,초등,보습,초등:225000/ 초등:235000/ 초등:245000/ 초등:255000/ 초등:265000/ 중등:265000/ 중등:275000/ 중등:285000/ 고등:280000/ 고등:300000/ 고등:330000
3030메이트영어교습소,20170116,대구광역시 동구 과학로13길 4,/ 1층 103호 일부 (각산동),35.88454985,128.7181336,72,입시.검정 및 보습,보통교과,초등,보습,
3030비탑영어교습소,20181204,대구광역시 수성구 청수로35길 79,(황금동/ 삼영빌딩),35.84173564,128.6314105,27,입시.검정 및 보습,보통교과,,보습,
3030에스제이(SJ)영어학원,20170414,대구광역시 동구 동호로 77,/ 4층(일부) (신서동),35.86643104,128.7253513,70,입시.검정 및 보습,보통교과,보습/,보습,
3030영어교습소,20190422,대구광역시 달서구 장기로 167,/ 223동 212호 (본리동/ 성당 래미안 이편한세상),35.84304909,128.5419008,15,입시.검정 및 보습,보통교과,,보습,
3030영어교습소,20150727,대구광역시 동구 송라로12길 33,/ 1층 일부 (신천동),35.87431945,128.621645,45,입시.검정 및 보습,보통교과,초등,보습,초등:120000/ 초등:180000/ 초등:200000/ 중등:220000/ 중등:240000
3030영어교습소,20150123,대구광역시 북구 대천로 87,/ 3층 (동천동),35.93717669,128.558817,32,입시.검정 및 보습,보통교과,영어(초),보습,
3030영어교습소,20180228,대구광역시 서구 국채보상로34길 12,/ 상가 410호 (중리동/ 중리롯데캐슬),35.86861727,128.5471212,63,입시.검정 및 보습,보통교과,파닉스,보습,
